Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
C1,110.220000mm,69.100000mm,Top,0.0,110.220000mm,69.100000mm
C2,110.220000mm,66.850000mm,Top,0.0,110.220000mm,66.850000mm
C3,110.220000mm,64.600000mm,Top,0.0,110.220000mm,64.600000mm
C4,110.220000mm,62.350000mm,Top,0.0,110.220000mm,62.350000mm
C5,110.220000mm,60.100000mm,Top,0.0,110.220000mm,60.100000mm
C6,110.220000mm,57.850000mm,Top,0.0,110.220000mm,57.850000mm
C7,113.820000mm,57.950000mm,Top,180.0,113.820000mm,57.950000mm
C8,113.820000mm,60.200000mm,Top,180.0,113.820000mm,60.200000mm
C9,113.820000mm,62.450000mm,Top,180.0,113.820000mm,62.450000mm
C10,113.820000mm,64.700000mm,Top,180.0,113.820000mm,64.700000mm
C11,113.820000mm,66.950000mm,Top,180.0,113.820000mm,66.950000mm
C12,109.430000mm,55.750000mm,Top,0.0,109.430000mm,55.750000mm
C13,113.600000mm,76.200000mm,Top,0.0,113.600000mm,76.200000mm
D1,92.600000mm,24.850000mm,Top,-90.0,92.600000mm,24.850000mm
D2,101.000000mm,25.050000mm,Top,-90.0,101.000000mm,25.050000mm
D3,130.350000mm,63.900000mm,Top,0.0,130.350000mm,63.900000mm
D4,130.350000mm,72.100000mm,Top,0.0,130.350000mm,72.100000mm
D5,65.200000mm,31.400000mm,Top,270.0,65.200000mm,31.400000mm
D6,59.650000mm,31.537500mm,Top,270.0,59.650000mm,31.537500mm
D7,74.900000mm,78.450000mm,Top,0.0,74.900000mm,78.450000mm
D8,74.900000mm,81.250000mm,Top,0.0,74.900000mm,81.250000mm
F1,35.600000mm,60.800000mm,Top,90.0,35.600000mm,60.800000mm
F2,55.000000mm,26.200000mm,Top,90.0,55.000000mm,26.200000mm
F3,113.200000mm,70.600000mm,Top,-90.0,113.200000mm,70.600000mm
J1,91.520000mm,92.400000mm,Top,90.0,91.520000mm,92.400000mm
J2,15.980000mm,92.600000mm,Top,90.0,15.980000mm,92.600000mm
J3,81.200000mm,89.000000mm,Top,180.0,81.200000mm,89.000000mm
M1,105.350000mm,78.275000mm,Top,0.0,105.350000mm,78.275000mm
M2,17.700000mm,87.000000mm,Top,-90.0,17.700000mm,87.000000mm
M3,31.000000mm,43.950000mm,Top,90.0,31.000000mm,43.950000mm
M4,36.200000mm,43.950000mm,Top,90.0,36.200000mm,43.950000mm
M5,38.825000mm,44.125000mm,Top,0.0,38.825000mm,44.125000mm
M6,61.525000mm,37.925000mm,Top,0.0,61.525000mm,37.925000mm
Q1,27.000000mm,30.450000mm,Top,90.0,27.000000mm,30.450000mm
Q2,123.100000mm,32.200000mm,Top,90.0,123.100000mm,32.200000mm
Q3,36.800000mm,30.400000mm,Top,90.0,36.800000mm,30.400000mm
Q4,115.700000mm,32.200000mm,Top,90.0,115.700000mm,32.200000mm
Q5,46.600000mm,30.400000mm,Top,90.0,46.600000mm,30.400000mm
Q6,108.300000mm,32.200000mm,Top,90.0,108.300000mm,32.200000mm
Q7,141.915000mm,24.845000mm,Top,180.0,141.915000mm,24.845000mm
Q8,141.915000mm,36.120000mm,Top,180.0,141.915000mm,36.120000mm
Q9,142.040000mm,47.320000mm,Top,180.0,142.040000mm,47.320000mm
Q10,10.260000mm,52.400000mm,Top,0.0,10.260000mm,52.400000mm
Q11,10.185000mm,41.200000mm,Top,0.0,10.185000mm,41.200000mm
Q12,10.360000mm,30.000000mm,Top,0.0,10.360000mm,30.000000mm
Q13,92.000000mm,32.000000mm,Top,270.0,92.000000mm,32.000000mm
Q14,100.250000mm,32.000000mm,Top,270.0,100.250000mm,32.000000mm
Q15,123.400000mm,63.200000mm,Top,0.0,123.400000mm,63.200000mm
Q16,123.400000mm,71.450000mm,Top,0.0,123.400000mm,71.450000mm
Q17,65.000000mm,27.062500mm,Top,270.0,65.000000mm,27.062500mm
Q18,59.600000mm,27.000000mm,Top,270.0,59.600000mm,27.000000mm
R1,55.600000mm,33.225000mm,Top,-90.0,55.600000mm,33.225000mm
R2,54.890000mm,30.825000mm,Top,180.0,54.890000mm,30.825000mm
R3,82.000000mm,80.600000mm,Top,90.0,82.000000mm,80.600000mm
R4,80.400000mm,80.600000mm,Top,90.0,80.400000mm,80.600000mm
R5,114.220000mm,55.350000mm,Top,180.0,114.220000mm,55.350000mm
R6,29.000000mm,35.600000mm,Top,0.0,29.000000mm,35.600000mm
R7,124.900000mm,37.400000mm,Top,0.0,124.900000mm,37.400000mm
R8,39.000000mm,35.600000mm,Top,0.0,39.000000mm,35.600000mm
R9,117.500000mm,37.400000mm,Top,0.0,117.500000mm,37.400000mm
R10,48.800000mm,35.600000mm,Top,0.0,48.800000mm,35.600000mm
R11,110.100000mm,37.400000mm,Top,0.0,110.100000mm,37.400000mm
R12,134.700000mm,28.320000mm,Top,90.0,134.700000mm,28.320000mm
R13,134.700000mm,39.720000mm,Top,90.0,134.700000mm,39.720000mm
R14,134.900000mm,50.920000mm,Top,90.0,134.900000mm,50.920000mm
R15,139.300000mm,30.520000mm,Top,0.0,139.300000mm,30.520000mm
R16,139.500000mm,41.720000mm,Top,0.0,139.500000mm,41.720000mm
R17,139.500000mm,52.920000mm,Top,0.0,139.500000mm,52.920000mm
R18,17.400000mm,48.800000mm,Top,-90.0,17.400000mm,48.800000mm
R19,17.400000mm,37.600000mm,Top,-90.0,17.400000mm,37.600000mm
R20,17.200000mm,26.400000mm,Top,-90.0,17.200000mm,26.400000mm
R21,12.800000mm,46.800000mm,Top,180.0,12.800000mm,46.800000mm
R22,12.800000mm,35.600000mm,Top,180.0,12.800000mm,35.600000mm
R23,12.600000mm,24.400000mm,Top,180.0,12.600000mm,24.400000mm
R24,90.000000mm,26.450000mm,Top,180.0,90.000000mm,26.450000mm
R25,98.400000mm,26.650000mm,Top,180.0,98.400000mm,26.650000mm
R26,128.750000mm,61.300000mm,Top,-90.0,128.750000mm,61.300000mm
R27,128.750000mm,69.500000mm,Top,-90.0,128.750000mm,69.500000mm
R28,65.000000mm,24.400000mm,Top,0.0,65.000000mm,24.400000mm
R29,59.600000mm,24.200000mm,Top,0.0,59.600000mm,24.200000mm
R30,71.500000mm,78.450000mm,Top,180.0,71.500000mm,78.450000mm
R31,71.500000mm,81.050000mm,Top,180.0,71.500000mm,81.050000mm
U1,76.200000mm,1.944000mm,Top,90.0,76.200000mm,1.944000mm
U2,111.940000mm,47.875000mm,Top,-90.0,111.940000mm,47.875000mm
